MKOA WA NJOMBE,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Line (Km),,Distribution Transformer (kVA),,,LV (km),,,Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Njombe,Njombe, Njombe DC,Lupembe,Idamba,Iwafi,80,Wistofu,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Idamba,Iwafi,81,Speki,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Idamba,Iwafi,82,Kamelia,,2.6,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Idamba,Iwafi,83,Mgololo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Idamba,Lwanzali,84,Iguruka,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Idamba,Lwanzali,85,Lupalali,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Idamba,Lwanzali,86,Idunda,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Idamba,Lwanzali,87,Ipalyanzati,,0.7,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kidegembye,Image,88,Mwone,,0.0,0,1,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kidegembye,Image,89,Igunguli,,0.0,0,1,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kidegembye,Image,90,Mtowo,,0.7,0,1,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kidegembye,Image,91,Lusakanyo,,1.6,0,1,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kidegembye,Image,92,Mlangali,,1.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kidegembye,Kidegembye,93,Nyanga,,6.6,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kidegembye,Kidegembye,94,Isimike,,2.4,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kidegembye,Havanga,95,Lole,,2.5,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Ninga,96,Wahe,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Ninga,97,Madamba,,0.9,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Ninga,98,Mlangali,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Isitu,99,Masagala,,1.2,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Isitu,100,Mhanu,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Isitu,101,Landani,,5.5,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Ibiki,102,Ndanula,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Ibiki,103,Ibiki B,,3.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Ibiki,104,Matanana,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Igongolo,105,Igongolo B,,1.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Tagamenda,106,Myombwe,,2.4,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Ninga,Kivitu,107,Ukega,,1.8,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Upami,108,Mkeng'e,,6.4,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Upami,109,Ilamba,,1.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Kichiwa,110,Kichiwa B,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Kichiwa,111,Mjimwema,,1.8,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Ikando,112,Ipang'ila,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Ikando,113,Mawande,,2.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Maduma,114,Maduma C,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Ilengititu,115,Ifunda,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Ilengititu,116,Madamba,,2.7,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Ilengititu,117,Masilu,,6.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Ikisa,118,Ichenga.,,1.8,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Kilenzi,119,Madati Chini,,1.8,1,1,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Kilenzi,120, Madati Juu,,,,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Kilenzi,121,Itunu,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe DC,Lupembe,Kichiwa,Kilenzi,122,Pelaga B,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Kifanya,123,Chanucha,,1.1,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Mikongo,124,Tolondo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Mikongo,125,Maposane,,0.6,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Mikongo,126,Igagala,,0.6,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Liwengi,127,Igahilo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Liwengi,128,Mbasa,,1.2,0,1,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Liwengi,129,Makanjaula,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Liwengi,130,Igawisenga,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Lilombwi,131,Wanginyi,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Lilombwi,132,Kivulunge,,0.6,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Utengule,133, Utengule,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Utengule,134,Kibondeni,,0.8,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Utengule,135,Uliwa,,0.7,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Utengule,136,Ngelele,,4.5,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Kifanya,Lwangu,137,Lwauganga,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Mamongolo,138, Kidewa,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Mamongolo,139,Mamongolo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Mamongolo,140,Kibaoni,,1.9,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Mamongolo,141,Mabibo,,0.6,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Makowo,142,Amani,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Makowo,143,Mahenye,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Makowo,144,Mazombwe,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Makowo,145,Ibara,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Makowo,146,Igobi,,1.2,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Ng’elamo,147,Mbima,,1.6,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Ng’elamo,148,Amani,,3.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Makowo,Ng’elamo,149,Ulindiwa,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mbega,150,Kinyangesi,,0.5,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mbega,151,Iganga,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mbega,152,Mwanamonga,,0.9,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mbega,153,Ilongo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mtila,154,Lizaboni,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mtila,155,Ukanyange,,3.1,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mtila,156,Mjimwema,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mtila,157,Nyamnoge,,,0,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mtila,158,Mayavile,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mtila,159,Iholo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Mtila,160,Mwembetogwa,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Matola,Boimanda,161,Msekenalo,4.1,,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Yakobi,Yakobi,162,Utulimwani,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Yakobi,Yakobi,163,Mayambatu,,3.8,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Yakobi,Yakobi,164,Lwamhenga,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Yakobi,Idunda,165,Matewela,,5.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Yakobi,Idunda,166,Matamba,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Yakobi,Igominyi,167,Moyange,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Yakobi,Igominyi,168,Muedzela ,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Iwungilo,169,Iwungilo(A),,3.4,0,1,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Iwungilo,170,Iwungilo kati,,0.0,0,1,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Iwungilo,171,Magiwi,,2.2,0,1,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Iwungilo,172,Taling’emelo,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Iwungilo,173,Ipulwa,,2.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Igoma,174,Subuta,,1.8,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Igoma,175, Fweya,,2.1,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Uliwa,176,Kisangula,,4.3,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Ngalanga,177,Bomba Mbili,,1.7,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Ngalanga,178,Mfaranyaki,,0.0,1,0,0,2.0,1.0,3.0,30,2,32
Njombe,Njombe, Njombe TC,Njombe Mjini,Iwungilo,Ngalanga,179,Mjimwema,,2.6,1,0,0,2.0,1.0,3.0,30,2,32
