MKOA WA SIMIYU,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Line (Km),,Distribution Transformer (kVA),,,LV (km),,,Customers,,
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Dakama,Shinyanga Mwenge,82,Mahenge,,5.6,1,,,4.0,2.0,6.0,105,5,110
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Dakama,Sanga Mwampuya,83,Mwamahona,,0.8,1,,,3.0,2.0,5.0,50,4,54
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Dakama,Sanga Mwampuya,84,Mwandilo,,3.6,,1,,3.0,2.0,5.0,47,4,51
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sangamwalugesha,Sangamwalugesha,85,Kusini,,3.0,,1,,4.0,2.0,6.0,96,6,102
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sangamwalugesha,Sangamwalugesha,86,Magharibi,,0.5,1,,,4.0,2.0,6.0,100,5,105
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sangamwalugesha,Sangamwalugesha,87,Mwanindo,,1.4,1,,,4.0,2.0,6.0,54,4,58
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sangamwalugesha,Sangamwalugesha,88,Igobeko,,0.5,1,,,3.0,2.0,5.0,29,3,32
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sangamwalugesha,Sangamwalugesha,89,Matale ,,2.0,1,,,3.0,2.0,5.0,50,5,55
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sangamwalugesha,Sangamwalugesha,90,Ngeme,,2.6,1,,,4.0,2.0,6.0,80,3,83
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sangamwalugesha,Mwandete,91,Bugogo,,1.9,1,,,4.0,2.0,6.0,140,6,146
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sangamwalugesha,Mwandete,92,Itinje Kusini,,3.0,1,,,4.0,2.0,6.0,150,3,153
Simiyu,Maswa,Maswa DC,Maswa Mashariki,Sangamwalugesha,Mwandete,93,Tumbili,,2.2,1,,,4.0,3.0,7.0,158,4,162
