MKOA WA KILIMANJARO ,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Chemka,32,Kambi Ya Chokaa,,0.0,1,,,4.2,1.8,6.0,65,2,67
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Chemka,33,Tindigani,,0.0,1,,,2.8,1.2,4.0,78,2,80
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Chemka,34,Ngulu  Juu,,0.0,1,,,2.8,1.2,4.0,65,2,67
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Mkalama,36,Mlima Mswaki,,1.7,1,,,4.2,1.8,6.0,60,2,62
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Mkalama,37,Mwasiti,,1.0,1,,,3.5,1.5,5.0,65,2,67
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Mkalama,38,Mbuguni,,3.8,1,,,4.2,1.8,6.0,60,2,62
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Mkalama,39,Yamnono,,4.0,1,,,4.2,1.8,6.0,70,2,72
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Mkalama,40,Longoi Kati,,0.0,1,,,3.5,1.5,5.0,135,2,137
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Mkalama,41,Njoro,,0.0,2,,,2.1,0.9,3.0,40,2,42
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Kawaya,42,Njoro,,0.3,,,,4.2,1.8,6.0,80,2,82
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Kawaya,43,Kituoni,,1.4,,,,5.6,2.4,8.0,120,2,122
Kilimanjaro,Hai,Hai DC,Hai,Masama Rundugai,Kawaya,44,Kisimani,,0.0,1,,,4.2,1.8,6.0,95,2,97
Kilimanjaro,Hai,Hai DC,Hai,Kia,Mtakuja,45,Ukambani,,1.6,1,,,4.2,1.8,6.0,80,2,82
Kilimanjaro,Hai,Hai DC,Hai,Kia,Sanya Station,46,Road Toll,,0.0,2,,,5.6,2.4,8.0,70,2,72
Kilimanjaro,Hai,Hai DC,Hai,Kia,Tindigani,47,Tindigani,,0.0,1,,,2.8,1.2,4.0,65,2,67
Kilimanjaro,Hai,Hai DC,Hai,Kia,Tindigani,48,Bonza,,1.6,1,,,3.5,1.5,5.0,70,2,72
Kilimanjaro,Hai,Hai DC,Hai,Kia,Tindigani,49,Ukambani,,2.0,1,,,4.2,1.8,6.0,78,2,80
Kilimanjaro,Hai,Hai DC,Hai,Kia,Tindigani,50,Umasaini,,1.0,1,,,4.2,1.8,6.0,65,2,67
JUMLA NDOGO,,,,,,50,,0.0,53.5,48,0,0,184.8,79.2,264.0,"3,820",98,"3,918"
Kilimanjaro,Siha,Siha DC,Siha,Garagua,Magadini,1,Leng'Ong,0.0,,1,,,2.0,0.8,2.8,60,2,62
Kilimanjaro,Siha,Siha DC,Siha,Garagua,Magadini,2,Ziwa Magadini,0.0,,1,,,2.1,0.9,3.0,55,2,57
Kilimanjaro,Siha,Siha DC,Siha,Garagua,Mawasiliano,3,Neema,0.0,,,1,,2.8,1.2,4.0,80,2,82
Kilimanjaro,Siha,Siha DC,Siha,Garagua,Mawasiliano,4,Dachi Kona,0.0,,1,,,2.8,1.2,4.0,100,2,102
Kilimanjaro,Siha,Siha DC,Siha,Garagua,Mlangoni,5,Mlangoni,1.0,,,1,,3.5,1.5,5.0,80,2,82
Kilimanjaro,Siha,Siha DC,Siha,Garagua,Mlangoni,6,Kilari,1.0,,,,,2.8,1.2,4.0,50,2,52
Kilimanjaro,Siha,Siha DC,Siha,Karansi,Karansi,7,Mlimani,0.0,,1,,,1.8,0.8,2.5,60,2,62
Kilimanjaro,Siha,Siha DC,Siha,Karansi,Mendai,8,Tauka,0.0,,1,,,2.8,1.2,4.0,50,2,52
Kilimanjaro,Siha,Siha DC,Siha,Karansi,Lekrimuni,9,Orkong,5.0,,,1,,1.4,0.6,2.0,40,2,42
Kilimanjaro,Siha,Siha DC,Siha,Karansi,Ndinyika,10,Kilimashimba,0.7,,1,,,2.8,1.2,4.0,60,2,62
