MKOA WA KIGOMA,,,,,,,,Scope of works,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,81,Nyamiyaga,,0.5,,1,,1.0,2.0,3.0,102,2,104,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,82,Nyabibuye C,,0.7,,1,,1.0,2.0,3.0,78,3,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,83,Kashoza,,0.0,,1,,1.0,2.0,3.0,89,1,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,84,Nyabibuye B,,0.6,,1,,1.0,2.0,3.0,165,5,170,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,85,Nyabibuye A,,0.0,,1,,1.0,2.0,3.0,58,1,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyabibuye,Nyabibuye,86,Majengo,,0.0,1,,,1.0,2.0,3.0,98,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Nyanzige,87,Ukweli na uwazi,,0.0,1,,,1.0,2.0,3.0,98,1,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Nyanzige,88,Nyabuliko,,1.2,1,,1,1.0,2.0,3.0,120,5,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Nyanzige,89,Nyamilangalile,,1.3,1,,,1.0,2.0,3.0,98,2,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Nyanzige,90,Kumtukura,,0.6,1,1,,1.0,2.0,3.0,78,3,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Nyanzige,91,Mwembeni,,0.9,1,1,,1.0,2.0,3.0,96,2,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Churazo,92,Mwongozo,,1.8,1,,,1.0,2.0,3.0,62,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Churazo,93,Kifunzo A,,1.5,,1,,1.0,2.0,3.0,53,1,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Churazo,94,Kifunzo B,,0.7,1,,,1.0,2.0,3.0,54,1,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Churazo,95,Kumteli,,0.0,1,,,1.0,2.0,3.0,145,2,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Churazo,96,Tulizana,,0.3,1,,,1.0,2.0,3.0,96,2,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Churazo,97,Legezamwendo,,0.6,,1,,1.0,2.0,3.0,143,4,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Churazo,98,Kumulemela,,0.7,1,,,1.0,2.0,3.0,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Churazo,99,Songambele,,1.1,,1,,1.0,2.0,3.0,152,2,154,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza, Nyamtukuza,100,Karutale,,0.3,1,,,1.0,2.0,3.0,99,1,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza, Nyamtukuza,101,Kirahinda,,0.3,1,,,1.0,2.0,3.0,120,3,123,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza, Nyamtukuza,102,Mwiruzi,,0.3,1,,,1.0,2.0,3.0,125,1,126,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza, Nyamtukuza,103,Kahanama,,0.5,1,,,1.0,2.0,3.0,69,2,71,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza, Nyamtukuza,104,Murubanga,,0.3,1,,,1.0,2.0,3.0,88,2,90,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza, Nyamtukuza,105,Mkuyuni,,0.3,1,,,1.0,2.0,3.0,83,2,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza, Nyamtukuza,106,Nakasero,,0.0,1,,,1.0,2.0,3.0,65,1,66,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza, Nyamtukuza,107,Nyagwonga,,0.0,1,,,1.0,2.0,3.0,140,1,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza, Nyamtukuza,108,Lugondo,,0.8,1,,,1.0,2.0,3.0,20,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kigoma,Kakonko,Kakonko DC,Buyungu,Nyamtukuza,Kinyinya,109,Senta,,1.1,1,,,1.0,2.0,3.0,20,2,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
