MKOA WA IRINGA,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low voltage Lines (km),,,Initial customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11KV,33KV,50,100,200,4 x 95 sq.mm,4 x 50 sq.mm,LV Total (km),single phase,Three phase,Total
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Wasa,118,Utiga,,0.3,1,,,1.2,1.8,3.0,57,3,60
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Wasa,119,Nyakigongo,,0.7,1,,,1.4,2.1,3.5,48,3,50
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Wasa,120,Uhepwa,,2.8,1,,,1.2,1.8,3.0,33,2,35
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Mahanzi,121,Kitamba,,0.0,,,,1.1,1.6,2.7,30,2,32
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Ufyambe,122,Lwamanga,,1.4,1,,,1.6,2.4,4.0,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Usengelindate,123,Kigasa,,0.0,1,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Usengelindate,124,Umwaga,,0.0,1,,,1.3,1.9,3.2,47,2,49
Iringa,Iringa,Iringa DC,Kalenga,Wasa,Usengelindate,125,Igula,,1.7,1,,,1.2,1.8,3.0,37,2,39
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Makombe,126,Makongomi,,0.0,1,,,1.0,1.5,2.5,45,2,47
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Makombe,127,Ukelemi,,0.0,,,,1.2,1.8,3.0,34,2,36
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Makombe,128,Kihanga,,0.0,,,,1.0,1.5,2.5,36,2,38
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Makombe,129,Ihanzu A,,0.0,,,,0.5,0.8,1.3,21,1,22
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Makombe,130,Ihanzu B,,1.2,1,,,1.0,1.5,2.5,22,1,23
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Kidilo,131,Kinyang'ama A,,0.0,,,,0.9,1.4,2.3,32,2,34
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Kidilo,132,Zagaza A,,0.0,,,,0.5,0.8,1.3,22,1,23
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Chamgogo,133,Chamgogo,,0.7,1,,,1.4,2.2,3.6,61,3,64
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Chamgogo,134,Shuleni,,0.0,,,,0.8,1.2,2.0,24,1,25
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Igangidung'u,135,Isaka B,,0.7,1,,,0.8,1.2,2.0,24,1,25
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Igangidung'u,136,Isaka A,,0.0,1,,,1.3,1.9,3.2,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Kihanga,Igangidung'u,137,Mang'ula A,,4.9,1,,,0.8,1.2,2.0,9,0,9
Iringa,Iringa,Iringa DC,Kalenga,Maboga,Magunga,138,Lugailo,,1.5,1,,,1.6,2.4,4.0,57,3,60
Iringa,Iringa,Iringa DC,Kalenga,Maboga,Magunga,139,Minyala,,0.0,1,,,1.2,1.8,3.0,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Maboga,Magunga,140,Ihami,,0.0,1,,,1.0,1.5,2.5,31,2,33
Iringa,Iringa,Iringa DC,Kalenga,Maboga,Magunga,141,Nguvukazi,,4.5,1,,,0.8,1.2,2.0,30,2,32
Iringa,Iringa,Iringa DC,Kalenga,Maboga,Kiponzoro,142,Gendawuye,,0.8,1,,,1.1,1.6,2.7,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Maboga,Kiponzoro,143,Msombe,,1.3,1,,,0.8,1.2,2.0,45,2,47
Iringa,Iringa,Iringa DC,Kalenga,Maboga,Kiponzoro,144,Masalali,,0.0,1,,,1.2,1.8,3.0,26,1,27
Iringa,Iringa,Iringa DC,Kalenga,Maboga,Makongati,145,Lunguya,,0.9,1,,,0.8,1.2,2.0,38,2,40
Iringa,Iringa,Iringa DC,Kalenga,Maboga,Makongati,146,Ikondo,,0.9,1,,,0.8,1.2,2.0,30,2,32
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Mwambao,147,Mwambao A,,0.0,1,,,1.2,1.8,3.0,34,2,36
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Mwambao,148,Kilimahewa,,1.3,1,,,1.2,1.8,3.0,32,2,34
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Mwambao,149,Idete,,1.2,1,,,0.8,1.2,2.0,21,1,22
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Weru,150,Milangali,,1.3,1,,,0.8,1.2,2.0,38,2,40
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Weru,151,Ipangani,,2.6,1,,,1.0,1.5,2.5,36,2,38
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Kibebe,152,Itamba,,1.2,1,,,0.8,1.2,2.0,38,2,40
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Kibebe,153,Kilolo,,2.6,1,,,1.2,1.8,3.0,36,2,38
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Kibebe,154,Lugumunzi,,0.0,1,,,1.2,1.8,3.0,48,3,50
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Kibebe,155,Ikanumgunda,,2.2,1,,,1.1,1.6,2.7,40,2,42
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Ibangamoyo,156,Mwika,,0.0,2,,,2.4,3.6,6.0,57,3,60
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Mangalali,157,Kitoo A,,,,,,0.4,0.6,1.0,33,2,35
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Mangalali,158,Kitoo B,,0.7,1,,,0.4,0.6,1.0,38,2,40
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Mangalali,159,Itunda A ,,,,,,0.4,0.6,1.0,30,2,32
Iringa,Iringa,Iringa DC,Kalenga,Ulanda,Mangalali,160,Itunda B,,2.0,1,,,0.4,0.6,1.0,43,2,45
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Nzihi,161,Muhanga,,0.9,1,,,0.8,1.2,2.0,24,1,25
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Nzihi,162,Ihanzu,,1.0,1,,,0.9,1.4,2.3,21,1,22
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Nzihi,163,Mazombe,,1.5,1,,,0.8,1.2,2.0,30,2,32
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Nzihi,164,Mbega,,0.0,1,,,0.7,1.1,1.8,29,2,30
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Kipera,165,Mbunula,,0.0,1,,,0.8,1.2,2.0,35,2,37
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Kipera,166,Mifugo,,1.6,1,,,0.2,0.3,0.5,21,1,22
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Kipera,167,kisombole,,0.0,,,,0.2,0.3,0.5,19,1,20
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Nyamihuu,168,Makanyagio,,0.5,1,,,1.0,1.5,2.5,38,2,40
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Nyamihuu,169,Mlangali,,0.0,,,,0.4,0.6,1.0,29,2,30
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Nyamihuu,170,Mbuyuni,,4.7,1,,,0.4,0.6,1.0,19,1,20
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Nyamihuu,171,Isala,,4.3,1,,,0.8,1.2,2.0,19,1,20
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Ilalasimba,172,Igungandembwe,,1.5,1,,,1.2,1.8,3.0,37,2,39
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Ilalasimba,173,Songambele,,2.2,1,,,1.2,1.8,3.0,33,2,35
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Ilalasimba,174,Kalangali,,0.0,,,,1.0,1.5,2.5,49,3,52
Iringa,Iringa,Iringa DC,Kalenga,Nzihi,Magubike,175,Ibogo,,4.6,1,,,1.4,2.2,3.6,38,2,40
Iringa,Iringa,Iringa DC,Kalenga,Kiwere,Kiwere,176,Chapakazi,1.8, ,1,,,1.3,2.0,3.3,47,2,49
