MKOA WA MBEYA ,,,,,,,,Scope of works,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,Medium Voltage Lines (km),,Distribution Transformers (kVA),,,Low Voltage Lines (km),,,Initial Customers,,
Mkoa,Wilaya,Halmashauri,Jimbo,Kata,Kijiji,Na,Kitongoji,11kV,33kV,50,100,200,4x95 sq.mm,4x50 sq.mm,LV Total (km),Single Phase,Three Phase,Total
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Igembe,87,Kipili,,1.5,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Igembe,88,Songwe,,0.5,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Igembe,89,Kinyala,,0.4,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Igembe,90,Ikuti,,0.9,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Lubigi,91,Magamba,0.0,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Lubigi,92,Itete,1.1,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Lubigi,93,Ikukisya,1.4,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Lubigi,94,Lubigi,0.7,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Lubigi,95,Moto,2.0,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Isumba,96,Kibole,1.5,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Isumba,97,Igembe,1.6,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Lukata,98,Mpombo,0.8,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Lukata,99,Kibanja,0.0,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Lukata,100,Ikoga,1.6,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Kinyala,Lukata,101,Itete,1.8,,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Isaka,102,Iloto,,1.3,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Nkunga,Isaka,103,Itolika,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Isongole,Ndwati,104,Igalula,,1.5,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Isongole,Ndwati,105,Bwawani,,1.3,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Isongole,Ngumbulu,106,Ipyela A,,0.5,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Isongole,Ngumbulu,107,Ipyela B,,0.4,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Isongole,Ngumbulu,108,Ikambaku,,5.8,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Isongole,Unyamwanga,109,Shoga,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Suma,Kabale,110,Igirimo,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Suma,Kabale,111,Ifukilo,,1.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Suma,Kabale,112,Bunyakyolo,,1.7,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Suma,Busona,113,Bulyaga,,1.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Suma,Busona,114,Iloto,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Suma,Malamba,115,Mbande,,1.2,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Suma,Malamba,116,Kisalano,,1.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Suma,Nditu,117,Maasa chini,,2.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Suma,Nditu,118,Kibumba,,3.1,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Suma,Nditu,119,Lukingi,,0.5,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masebe,Masebe,120,Kilalo,,1.3,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masebe,Masebe,121,Katumba,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masebe,Ibumba,122,Nsitu,,2.1,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masebe,Ibumba,123,Ndobo,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masebe,Kituli,124,Kituli,,1.2,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masebe,Kituli,125,Lota,,0.8,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masebe,Kituli,126,Lupaso,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masebe,Bunyakikosi,127,Mwale,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masebe,Bunyakikosi,128,Kagoje,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Masebe,Bunyakikosi,129,Ikama,,1.7,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Ikuti,130,Kagisa,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Kyobo,131,Matale,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Kyobo,132,Igembe,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Kyobo,133,Kyobo Chini,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Kyobo,134,Isuga,,1.7,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Kyobo,135,Ng'enge,,0.5,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Kyobo Juu,136,Kyobo Kati,,0.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Kyobo Juu,137,Lubemba,,2.0,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Lyenje,138,Ijugwe,,1.4,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Lyenje,139,Kezalia,,1.2,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Lyenje,140,Mwantondo,,1.3,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Lyenje,141,Kimomo,,1.8,0,1,0,2.8,1.8,4.6,90,2,92
Mbeya,Rungwe,Rungwe DC,Rungwe,Ikuti,Lyenje,142,Kitapwa,,2.5,0,1,0,2.8,1.8,4.6,90,2,92
