Kagera, Muleba, Gwanseli, Gwanseli 
Kagera, Muleba, Gwanseli, Kasheno 
Kagera, Muleba, Gwanseli, Misikilo 
Kagera, Muleba, Gwanseli, Katunguru 
Kagera, Muleba, Gwanseli, Ilemela 
Kagera, Muleba, Kibanga, Bumilo 
Kagera, Muleba, Kibanga, Kibanga 
Kagera, Muleba, Kibanga, Kabutaigi 
Kagera, Muleba, Kasharunga, Runazi 
Kagera, Muleba, Kasharunga, Kasharunga 
Kagera, Muleba, Kasharunga, Kyamyorwa 
Kagera, Muleba, Kasharunga, Kamajoto 
Kagera, Muleba, Kasharunga, Nkomero 
Kagera, Muleba, Kasharunga, Kiteme 
Kagera, Muleba, Rulanda, Bugara 
Kagera, Muleba, Rulanda, Rulanda 
Kagera, Muleba, Rulanda, Nyabule 
Kagera, Muleba, Rulanda, Kiga 
Kagera, Muleba, Rulanda, Kihunge 
Kagera, Muleba, Kimwani, Ruteme 
Kagera, Muleba, Kimwani, Kaguramo 
Kagera, Muleba, Kimwani, Kyotai 
Kagera, Muleba, Kimwani, Kiziramuyaga 
Kagera, Muleba, Kimwani, Msalala 
Kagera, Muleba, Nyakabango, Kangaza 
Kagera, Muleba, Nyakabango, Katembe 
Kagera, Muleba, Nyakabango, Nyakabango 
Kagera, Muleba, Nyakabango, Nsambya 
Kagera, Muleba, Kyebitembe, Kagasha 
Kagera, Muleba, Kyebitembe, Bihata 
Kagera, Muleba, Kyebitembe, Kisana 
Kagera, Muleba, Kyebitembe, Nyamilanda 
Kagera, Muleba, Kyebitembe, Kasindaga 
Kagera, Muleba, Karambi, Kiguzi 
Kagera, Muleba, Karambi, Karambi 
Kagera, Muleba, Karambi, Itunzi 
Kagera, Muleba, Karambi, Kashalala 
Kagera, Muleba, Mubunda, Kangoma 
Kagera, Muleba, Mubunda, Nyakashenyi 
Kagera, Muleba, Mubunda, Kitoko 
Kagera, Muleba, Mubunda, Kishoju 
Kagera, Muleba, Mubunda, Kyaibumba 
Kagera, Muleba, Mubunda, Bweyenza 
